15	-34
9	-52
4	-70
-1	-87
-5	-103
-9	-118
-13	-133
-16	-147
-19	-160
-22	-173
-25	-185
-28	-197
-30	-209
-33	-221
-36	-233
-39	-245
-42	-259
-46	-272
-50	-287
-54	-301
-58	-316
-62	-331
-66	-345
-70	-359
-74	-372
-78	-383
-81	-394
-85	-403
-88	-410
-91	-417
-94	-422
-97	-426
-100	-430
-102	-434
-105	-437
-107	-441
-109	-445
-112	-449
-114	-453
-115	-457
-117	-461
-118	-463
-118	-463
-118	-462
-118	-458
-117	-451
-116	-442
-114	-430
-112	-416
-109	-400
-107	-382
-104	-363
-101	-344
-98	-324
-95	-305
-93	-287
-90	-270
-88	-255
-86	-240
-84	-227
-82	-215
-79	-203
-77	-192
-74	-181
-71	-169
-68	-158
-65	-145
-61	-132
-58	-119
-54	-104
-51	-90
-48	-75
-45	-59
-42	-44
-39	-29
-37	-14
-34	1
-32	15
-29	29
-27	42
-24	56
-20	69
-17	82
-13	96
-8	109
-3	123
2	138
7	152
12	168
18	183
23	199
29	215
34	231
39	246
44	261
49	276
54	289
58	302
62	314
66	325
70	335
74	345
77	353
81	361
84	369
88	377
91	384
94	392
96	399
99	407
101	415
104	423
106	431
108	438
110	446
112	453
114	460
116	466
117	472
119	477
121	482
123	487
124	491
125	495
127	499
128	503
129	506
130	509
130	511
131	514
132	515
132	517
133	517
133	517
134	516
134	513
134	509
134	504
133	497
132	489
130	478
128	465
125	451
122	434
117	416
113	396
108	375
103	353
97	329
91	305
85	281
79	257
74	232
68	208
62	184
56	160
51	137
45	114
39	91
34	68
29	46
23	24
18	3
13	-19
8	-40
3	-60
-3	-80
-8	-100
-13	-119
-19	-137
-24	-156
-30	-174
-35	-191
-41	-209
-46	-226
-51	-243
-55	-260
-59	-277
-63	-295
-66	-311
-69	-328
-71	-344
-74	-359
-76	-374
-77	-387
-79	-400
-81	-413
-84	-425
-86	-436
-89	-447
-92	-459
-95	-470
-98	-483
-101	-496
-104	-509
-108	-524
-111	-538
-114	-553
-117	-567
-120	-581
-124	-593
-126	-603
-129	-611
-132	-616
-135	-618
-137	-616
-139	-611
-140	-602
-141	-590
-142	-576
-141	-559
-140	-540
-139	-519
-136	-498
-134	-476
-130	-454
-127	-433
-123	-412
-119	-391
-114	-371
-110	-351
-105	-331
-101	-311
-96	-292
-91	-272
-86	-251
-81	-230
-76	-209
-70	-187
-65	-165
-60	-143
-55	-120
-50	-99
-45	-77
-40	-56
-36	-36
-32	-17
-27	2
-23	19
-19	36
-15	51
-11	67
-6	81
-2	95
3	109
8	123
13	136
18	150
24	164
29	177
35	191
40	206
45	220
50	234
55	249
60	264
65	279
70	294
74	309
78	324
82	339
87	353
91	367
95	381
99	394
104	406
108	418
113	430
118	441
124	452
129	463
135	474
140	485
145	496
150	507
155	517
159	527
162	536
165	545
167	552
168	558
168	562
168	564
167	565
166	565
164	562
163	558
161	553
159	547
157	539
155	530
153	520
152	508
150	496
149	482
147	466
145	449
144	431
141	411
139	391
136	369
133	346
129	323
125	299
120	275
115	251
109	227
103	203
97	179
91	156
84	134
78	112
73	90
67	69
62	49
57	30
52	11
48	-8
43	-25
39	-42
35	-58
31	-74
26	-90
21	-106
17	-121
11	-137
6	-153
-0	-169
-5	-185
-11	-202
-17	-219
-23	-236
-29	-253
-34	-270
-40	-287
-45	-303
-50	-320
-55	-335
-59	-351
-63	-365
-68	-380
-72	-393
-75	-407
-79	-419
-83	-431
-87	-443
-91	-455
-95	-466
-99	-477
-103	-488
-107	-499
-111	-509
-115	-520
-118	-530
-122	-540
-125	-549
-127	-557
-129	-564
-130	-568
-131	-571
-131	-571
-131	-568
-130	-563
-129	-554
-128	-543
-126	-530
-125	-514
-123	-497
-122	-478
-120	-458
-119	-438
-117	-418
-115	-398
-114	-379
-112	-360
-109	-341
-107	-323
-104	-306
-101	-289
-98	-272
-94	-255
-90	-238
-86	-221
-83	-204
-79	-187
-76	-170
-72	-152
-69	-135
-66	-118
-63	-100
-60	-83
-57	-67
-54	-50
-51	-34
-47	-19
-43	-4
-39	11
-34	26
-28	40
-23	55
-17	70
-10	85
-4	101
3	118
9	135
15	152
22	170
28	189
34	207
39	225
45	243
50	260
54	277
58	292
62	306
66	319
69	331
72	342
75	352
78	361
81	370
84	378
87	387
90	395
93	403
96	412
100	420
103	428
106	436
109	444
112	451
115	458
117	464
120	470
121	474
123	479
124	482
125	485
126	487
127	489
128	490
129	490
130	490
131	489
132	487
133	484
133	480
133	474
133	466
132	457
130	445
128	431
125	414
121	395
116	374
111	351
